Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations
269679,"December 27, 2014",California,Los Angeles,8800 block of South Figueroa Street,1,3,0,0,0,
270036,"December 27, 2014",California,Sacramento,4000 block of May Street,0,4,0,0,0,
267792,"December 23, 2014",Kentucky,Winchester,260 Oxford Dr,1,3,0,0,2,
282186,"December 22, 2014",New York,Webster,191 Lake Rd,3,2,1,0,0,
266570,"December 21, 2014",Florida,Sarasota,4034 N Washington Blvd,2,2,0,0,0,
268910,"December 21, 2014",Mississippi,Waynesboro,Central Avenue,1,4,0,0,2,
263376,"December 14, 2014",Florida,Miami,1311 Northwest 2nd Avenue,1,4,0,0,0,
226983,"December 2, 2014",Virginia,Newport News,6128 Jefferson Ave ,0,5,0,0,0,
226018,"November 27, 2014",Texas,Georgetown,Pvt Rd 934,2,3,0,0,0,
225036,"November 26, 2014",California,San Francisco,Mission and 13th streets,0,6,0,0,0,
224131,"November 23, 2014",Colorado,Denver,Federal Boulevard and 16th Avenue,1,4,0,0,0,
223651,"November 22, 2014",Ohio,Cleveland,1443 E 92nd St,4,1,0,0,1,
224746,"November 16, 2014",Texas,El Paso,115 S. Durango,0,5,0,1,0,
221577,"November 15, 2014",Florida,Miami,NW 55th and 12th,1,3,0,0,0,
218054,"November 7, 2014",California,Los Angeles,East 126th Street and North Compton Avenue,0,4,0,0,0,
216533,"November 5, 2014",California,San Francisco,1100 block of Alabama Street ,0,4,0,0,0,
209134,"October 18, 2014",New York,Queens,33-02 Queens Blvd,0,4,0,0,1,
198527,"September 29, 2014",California,Fresno,2300 block of West Fountain Way ,0,4,0,0,0,
197416,"September 28, 2014",Pennsylvania,Philadelphia,2800 block of Hope Street,0,4,0,0,0,
197384,"September 28, 2014",Florida,Miami,NW 7th Ave and NW 64th St,0,15,0,0,0,
198064,"September 26, 2014",South Carolina,Florence,650 Turner Rd,1,4,0,0,2,
193570,"September 19, 2014",New York,Queens,32-14 106th St,0,4,0,0,0,
192851,"September 18, 2014",Florida,Bell,2550 NW 29th Terrace,7,0,1,0,0,
190599,"September 14, 2014",Alaska,Anchorage,225 E Fifth,0,6,0,0,0,
186488,"September 6, 2014",Georgia,Macon,576 Poplar Street,0,5,0,0,0,
185430,"September 3, 2014",California,Los Angeles,East 27th and Stanford ,0,6,0,0,0,
185196,"September 2, 2014",Mississippi,Jackson,3622 Medgar Evers Boulevard,2,3,0,0,0,
184507,"September 2, 2014",California,Highland,25000 block of Fifth Street ,0,5,0,0,0,
180580,"August 24, 2014",Georgia,Augusta,1013 Carrie Street,1,3,0,0,0,
175911,"August 17, 2014",New York,Queens,153-38 118th Ave,0,4,0,0,0,
173369,"August 12, 2014",New York,Buffalo,Oakmont Ave,1,3,0,0,0,
172205,"August 10, 2014",District of Columbia,Washington,50 block of N St SW,0,6,0,0,0,
173786,"August 8, 2014",District of Columbia,Washington,2nd St NE and Todd Pl NE,0,4,0,0,0,
171778,"August 8, 2014",Wisconsin,Milwaukee,3000 block of N. 28th Street ,0,4,0,0,0,
168844,"August 3, 2014",Virginia,Culpeper,14458 Rixeyville Rd,5,0,0,0,0,
169024,"August 3, 2014",Tennessee,Columbia,East 9th Street and Bridge Street,0,5,0,0,0,
167872,"August 2, 2014",Texas,Dallas,5125 Wynell Street,3,1,0,0,1,
167649,"August 1, 2014",Pennsylvania,Philadelphia,1500 block of South Etting Street,1,3,0,0,0,
165856,"July 28, 2014",Pennsylvania,Philadelphia,4900 block of North Front Street,1,4,0,0,0,
159291,"July 13, 2014",District of Columbia,Washington,1700 block of Lincoln Rd NE,0,4,0,0,0,
158387,"July 13, 2014",California,Sacramento,1972 Fulton Ave,1,4,0,0,0,
156468,"July 8, 2014",Rhode Island,Providence,35 March Street,0,5,0,0,0,
155943,"July 7, 2014",California,San Bernardino,312  E Baseline Street ,1,4,0,0,0,
156125,"July 6, 2014",Florida,Miami,NW 20th Ave and NW 62nd St,2,2,0,0,0,
155755,"July 6, 2014",New York,Buffalo,100 block of Erb Street,0,4,0,0,0,
154803,"July 5, 2014",Texas,Houston,1700 Almeda-Genoa,0,6,0,0,0,
154834,"July 5, 2014",Virginia,Norfolk,861 W. 36th Street,0,7,0,0,0,
154844,"July 4, 2014",Virginia,Norfolk,1722 Thurgood Street,0,5,0,0,0,
156834,"July 2, 2014",Pennsylvania,Chester,1400 block of West Congress Street,0,5,0,0,0,
153275,"June 30, 2014",Kentucky,Lexington,Scottsdale Circle,1,3,0,0,1,
152693,"June 29, 2014",California,Los Angeles,1100 block of North Vermont Avenue,1,5,0,0,1,
152722,"June 27, 2014",California,San Diego,1600 block of Cathy Street,1,3,0,0,0,
151659,"June 26, 2014",Wisconsin,Milwaukee,24th and Locust,0,5,0,0,0,
150299,"June 24, 2014",Florida,Miami,Northwest 12th Avenue and 65th Street,2,7,0,0,0,
154136,"June 22, 2014",California,Windsor,Windsor Avenue,1,3,0,0,0,
149954,"June 21, 2014",District of Columbia,Washington,Florida Ave NW and U St NW,0,4,0,0,0,
149706,"June 13, 2014",California,Los Angeles,8600 block of South Figueroa Street,3,1,0,0,0,
141792,"June 1, 2014",California,Sacramento,6500 46th Street,0,4,0,0,0,
153532,"May 31, 2014",California,San Bernardino,800 block of West Victoria St,1,3,0,0,0,
142123,"May 21, 2014",Texas,Dallas,4515 Village Fair Pl,1,3,0,0,0,
135904,"May 18, 2014",Ohio,Sandusky,1643 Cleveland Rd,0,7,0,0,0,
136163,"May 17, 2014",District of Columbia,Washington,2200 block of Adams Pl NE,0,5,0,0,0,
