Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations
271363,"December 29, 2014",Louisiana,New Orleans,Poydras and Bolivar,0,4,0,0,0,
269679,"December 27, 2014",California,Los Angeles,8800 block of South Figueroa Street,1,3,0,0,0,
270036,"December 27, 2014",California,Sacramento,4000 block of May Street,0,4,0,0,0,
269167,"December 26, 2014",Illinois,East St. Louis,2500 block of Summit Avenue,1,3,0,0,0,
268598,"December 24, 2014",Missouri,Saint Louis,18th and Pine,1,3,0,0,0,
267792,"December 23, 2014",Kentucky,Winchester,260 Oxford Dr,1,3,0,0,2,
268282,"December 22, 2014",Michigan,Detroit,Charlevoix and Philip,1,3,0,0,0,
282186,"December 22, 2014",New York,Webster,191 Lake Rd,3,2,1,0,0,
267721,"December 22, 2014",Illinois,Chicago,5700 block of South Green Street,0,5,0,0,0,
266570,"December 21, 2014",Florida,Sarasota,4034 N Washington Blvd,2,2,0,0,0,
268910,"December 21, 2014",Mississippi,Waynesboro,Central Avenue,1,4,0,0,2,
266424,"December 21, 2014",Illinois,Calumet City,600 block of Escanba,1,8,0,0,0,
266407,"December 20, 2014",Illinois,Rockford,3200 block of Montrose Avenue,4,0,0,0,1,
264901,"December 16, 2014",New Jersey,Elizabeth,Anna Street,0,4,0,0,0,
263556,"December 15, 2014",Pennsylvania,Lansdale,100 block of West 5th St,6,0,1,0,0,
263376,"December 14, 2014",Florida,Miami,1311 Northwest 2nd Avenue,1,4,0,0,0,
263382,"December 13, 2014",Florida,Tampa,810 E. Skagway Ave.,0,5,0,0,0,
262202,"December 12, 2014",Oregon,Portland,717 North Killingsworth Court,0,4,0,0,3,
259935,"December 7, 2014",Indiana,South Bend,16000 block of Roosevelt Road,0,4,0,0,0,
227011,"December 2, 2014",Missouri,Saint Louis,6000 block of Virginia Avenue,1,3,0,2,0,
226983,"December 2, 2014",Virginia,Newport News,6128 Jefferson Ave ,0,5,0,0,0,
226534,"November 30, 2014",Tennessee,Chattanooga,2412 East 13th Street ,0,5,0,0,0,
226388,"November 30, 2014",New York,Brooklyn,375 Remsen Avenue,0,4,0,0,0,
226150,"November 29, 2014",New Jersey,Newark,348 S Orange Ave,1,3,0,0,0,
225903,"November 29, 2014",Georgia,Atlanta,1600 block of Richmond Avenue,3,2,0,0,0,
225830,"November 28, 2014",Tennessee,Memphis,1849 East Brooks Road ,0,4,0,0,0,
226018,"November 27, 2014",Texas,Georgetown,Pvt Rd 934,2,3,0,0,0,
225036,"November 26, 2014",California,San Francisco,Mission and 13th streets,0,6,0,0,0,
224362,"November 23, 2014",Virginia,Parksley,Parksley Road,0,4,0,0,0,
224131,"November 23, 2014",Colorado,Denver,Federal Boulevard and 16th Avenue,1,4,0,0,0,
223651,"November 22, 2014",Ohio,Cleveland,1443 E 92nd St,4,1,0,0,1,
223799,"November 22, 2014",South Dakota,Sisseton,Fourth Avenue,3,1,1,0,0,
223729,"November 22, 2014",Ohio,Springfield,Clifton Avenue and Rice Street,1,3,0,0,0,
223582,"November 21, 2014",Pennsylvania,Pittsburgh,600 block of Miller Avenue,0,6,0,0,0,
222792,"November 19, 2014",Illinois,Chicago,700 block of North St. Louis Avenue,1,3,0,0,0,
222393,"November 18, 2014",Nevada,North Las Vegas,Englestad Street,0,4,0,0,0,
221554,"November 16, 2014",Ohio,Akron,1891 E Market St,1,4,0,0,1,
224746,"November 16, 2014",Texas,El Paso,115 S. Durango,0,5,0,1,0,
221347,"November 15, 2014",Missouri,Springfield,2555 N. Glenstone,4,0,0,0,1,
221577,"November 15, 2014",Florida,Miami,NW 55th and 12th,1,3,0,0,0,
217831,"November 8, 2014",California,Pomona,499 E. Arrow Highway,0,5,0,0,0,
218054,"November 7, 2014",California,Los Angeles,East 126th Street and North Compton Avenue,0,4,0,0,0,
217401,"November 7, 2014",California,Compton,136th Street ,0,4,0,0,0,
216533,"November 5, 2014",California,San Francisco,1100 block of Alabama Street ,0,4,0,0,0,
212884,"October 29, 2014",Tennessee,Memphis,Yale Road and Ramill Road,0,5,0,0,0,
211348,"October 26, 2014",Kentucky,Cadiz,1410 Old Dover Road,4,0,0,0,1,
210363,"October 24, 2014",Washington,Marysville,5611 108th St NE,4,1,1,0,0,
209134,"October 18, 2014",New York,Queens,33-02 Queens Blvd,0,4,0,0,1,
207145,"October 18, 2014",South Carolina,Graniteville,192 Breezy Hill Road,1,3,0,0,0,
207687,"October 18, 2014",New York,Brooklyn,Lenox Road,0,4,0,0,0,
206303,"October 16, 2014",Michigan,Detroit,Mogul Street,1,3,0,0,1,
205726,"October 14, 2014",Georgia,Peachtree Corners,6505 Bannor Lane,2,2,1,0,0,
205298,"October 13, 2014",Georgia,Atlanta,85 Mount Zion Road,0,4,0,0,0,
204310,"October 12, 2014",California,Stockton,1100 block of East March Lane,3,1,0,0,0,
204477,"October 12, 2014",Georgia,Atlanta,Arthur Langford Jr Place,1,3,0,0,0,
204236,"October 11, 2014",New York,Utica,222 Bleecker Street,0,4,0,1,1,
202981,"October 8, 2014",Georgia,Atlanta,Auburn Avenue and Edgewood Avenue,0,4,0,0,0,
204254,"October 8, 2014",New York,Guilderland,1846 Western Ave,4,0,0,0,0,
201052,"October 5, 2014",Michigan,Detroit,East 7 Mile Road and Sherwood Street,1,5,0,0,0,
201630,"October 5, 2014",Florida,Jacksonville,7300 block of Linda Drive,3,1,0,0,0,
201648,"October 4, 2014",Tennessee,Memphis,1400 block of Gherald Street,2,2,0,0,0,
201502,"October 4, 2014",California,Pomona,1925 West Holt Avenue ,0,4,0,0,0,
198051,"September 29, 2014",South Carolina,Walterboro,29 Sandy Dam Lane,1,6,0,1,2,
198527,"September 29, 2014",California,Fresno,2300 block of West Fountain Way ,0,4,0,0,0,
197416,"September 28, 2014",Pennsylvania,Philadelphia,2800 block of Hope Street,0,4,0,0,0,
197384,"September 28, 2014",Florida,Miami,NW 7th Ave and NW 64th St,0,15,0,0,0,
197287,"September 27, 2014",Missouri,Saint Louis,2000 block East John Avenue,0,5,0,0,0,
198064,"September 26, 2014",South Carolina,Florence,650 Turner Rd,1,4,0,0,2,
194945,"September 21, 2014",Ohio,East Liverpool,440 First St,0,4,0,0,0,
193960,"September 20, 2014",Mississippi,Batesville,8297 Curtis Rd,2,2,0,0,0,
193570,"September 19, 2014",New York,Queens,32-14 106th St,0,4,0,0,0,
192851,"September 18, 2014",Florida,Bell,2550 NW 29th Terrace,7,0,1,0,0,
191416,"September 15, 2014",Louisiana,New Orleans,Chef Menteur Highway and Dale Street,0,5,0,0,0,
190874,"September 14, 2014",Texas,Flour Bluff,229 Naval Air Station Drive,3,1,0,0,0,
2172621,"September 14, 2014",Texas,Corpus Christi,229 NAS Dr,3,1,0,0,1,
190599,"September 14, 2014",Alaska,Anchorage,225 E Fifth,0,6,0,0,0,
189562,"September 11, 2014",Michigan,Detroit,14000 block of Patton,1,7,0,0,0,
188332,"September 6, 2014",Florida,Orlando,2015 Orange Blossom Trail,0,4,0,0,0,
186488,"September 6, 2014",Georgia,Macon,576 Poplar Street,0,5,0,0,0,
185393,"September 4, 2014",Michigan,Flint,2400 block of Martin Luther King Boulevard,0,5,0,0,0,
185430,"September 3, 2014",California,Los Angeles,East 27th and Stanford ,0,6,0,0,0,
185196,"September 2, 2014",Mississippi,Jackson,3622 Medgar Evers Boulevard,2,3,0,0,0,
184507,"September 2, 2014",California,Highland,25000 block of Fifth Street ,0,5,0,0,0,
183432,"August 31, 2014",California,Livermore,200 block of South Q Street ,0,5,0,0,0,
182974,"August 29, 2014",Florida,Brooksville,820 Peach St,3,1,0,0,0,
181947,"August 27, 2014",Michigan,Detroit,16600 block of Edmore,1,3,0,0,0,
180007,"August 24, 2014",California,San Fernando,1400 block of Celis Street,4,5,0,0,1,
180018,"August 24, 2014",Illinois,Chicago,8300 block of South Halsted Street,1,3,0,0,0,
180580,"August 24, 2014",Georgia,Augusta,1013 Carrie Street,1,3,0,0,0,
178425,"August 20, 2014",Tennessee,Memphis,1400 block of Briarcrest Lane,0,5,0,0,0,
